sent;sentcorrect;level
Da ich sehr von der Natur inspiriert bin, würde ich die Gelegenheit nicht verpassen, entlang Rheinsteig zu wandern.;Da ich sehr von der Natur inspiriert bin, würde ich die Gelegenheit nicht verpassen, den Rheinsteig entlang zu wandern.;1
Der Rheinsteig ist ein Wanderweg, der auf einem erhöhten Pfad entlang des östlichen Rheinufers verläuft.;Der Rheinsteig ist ein Wanderweg, der auf einem erhöhten Pfad den östlichen Rheinufer entlang verläuft.;1
Der Rheinsteig ist ein Wanderweg, der auf einem erhöhten Pfad den östlichen Rheinufer entlang v in Deutschlanderläuft.;Der Rheinsteig ist ein Wanderweg, der auf einem erhöhten Pfad den östlichen Rheinufer entlang verläuft.;1
Einer der bekanntesten Storms Deutschlands, der Rheinsteig, liegt zwischen Bonn, Koblenz und Wiesbaden und führt zu Wäldern,Weinbergen und spektakulären Ausbliken.;Einer der bekanntesten Strecken Deutschlands, der Rheinsteig, liegt zwischen Bonn, Koblenz und Wiesbaden und führt zu Wäldern,Weinbergen und spektakulären Ausbliken.;1
Während meiner Wandenung entlang Etappe Bad Honnef – Linz würde ich die gotischen Schlösser bewundern, zum Beispiel die Burg Ockenfels, weil die Aussicht von der vor der Burg gelegenen Wiesen atemberaubend ist.;Während meiner Wandenung Etappe Bad Honnef – Linz entlang würde ich die gotischen Schlösser bewundern, zum Beispiel die Burg Ockenfels, weil die Aussicht von der vor der Burg gelegenen Wiesen atemberaubend ist.;1
Während meiner Wanderung Etappe Bad Honnef – Linz entlang würde ich die gotischen Schlösser bewundern, zum Beispiel die Burg Ockenfels, weil die Aussicht von der vor der Burg gelegenen Wiesen atemberaubend ist.;Während meiner Wandenung Etappe Bad Honnef – Linz entlang würde ich die gotischen Schlösser bewundern, zum Beispiel die Burg Ockenfels, weil die Aussicht von der vor der Burg gelegenen Wiesen atemberaubend ist.;0
Neben die Stammbücher und mittelalterlichen Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;1
Neben den Stammbüchern und mittelalterliche Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;1
Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;1
Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort nicht nur historischen Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;Neben den Stammbüchern und mittelalterlichen Handschriften kann man dort nicht nur historische Drucke der Reformation, sondern auch Musikalien, Landkarten und Globen beobachten, durch die ein umfassendes Eintauchen in die historische Epoche erfolgt.;1
Am liebsten würde ich eine Eintrittskarte für Ring des Nibelungen” von Vagner kaufen, der ein Zyklus von 4 epischen Opern ist, die auf Rekonstruktionen der deutschen Mythologie basieren.;Am liebsten würde ich eine Eintrittskarte für Ring des Nibelungen” von Wagner kaufen, der ein Zyklus von 4 epischen Opern ist, die auf Rekonstruktionen der deutschen Mythologie basieren.;0
Am liebsten würde ich eine Eintrittskarte für Ring des Nibelungen” von Wagner kaufen, der einen Zyklus von 4 epischen Opern ist, die auf Rekonstruktionen der deutschen Mythologie basieren.;Am liebsten würde ich eine Eintrittskarte für Ring des Nibelungen” von Wagner kaufen, der ein Zyklus von 4 epischen Opern ist, die auf Rekonstruktionen der deutschen Mythologie basieren.;1
Ich möchte diesen Opernzyklus hören, um eine persönliche Meinung darüber zu bilden, weil es gesagt ist, dass dieser Werk für den Zuhörer entweder eine Qual oder eine mystische Offenbarung wird.;Ich möchte diesen Opernzyklus hören, um eine persönliche Meinung darüber zu bilden, weil es gesagt ist, dass dieses Werk für den Zuhörer entweder eine Qual oder eine mystische Offenbarung wird.;1
Ich möchte diesen Opernzyklus hören, um eine persönliche Meinung darüber zu bilden, weil es gesagt wird, dass dieses Werk für den Zuhörer entweder eine Qual oder eine mystische Offenbarung wird.;Ich möchte diesen Opernzyklus hören, um eine persönliche Meinung darüber zu bilden, weil es gesagt ist, dass dieses Werk für den Zuhörer entweder eine Qual oder eine mystische Offenbarung wird.;1
Abschließend möchte ich sagen, weilss Deutschland der Traum für Touristen ist, da es in diesem Land die Möglichkeit gibt, die Natur zu bewundern, einen Ausflug in die Geschichte zu machen und kulturelle Freizeit zu verbringen.;Abschließend möchte ich sagen, weilss Deutschland ein Traum für Touristen ist, da es in diesem Land die Möglichkeit gibt, die Natur zu bewundern, einen Ausflug in die Geschichte zu machen und kulturelle Freizeit zu verbringen.;0
Abschließend möchte ich sagen, dass Deutschland ein Traum für Touristen ist, da es in diesem Land die Möglichkeit gibt, die Natur zu bewundern, einen Ausflug in die Geschichte zu machen und kulturelle Freizeit zu verbringen.;Abschließend möchte ich sagen, weilss Deutschland ein Traum für Touristen ist, da es in diesem Land die Möglichkeit gibt, die Natur zu bewundern, einen Ausflug in die Geschichte zu machen und kulturelle Freizeit zu verbringen.;0
﻿ Die Filmrezension Der geheimnisvollen Name eines deutsches Film Lila Lila wurde ins Russische als Meine Wörter, meine Lüge, meine Liebe übersetzt.;﻿ Die Filmrezension Der geheimnisvollen Name eines eines deutschen Films Lila Lila wurde ins Russische als Meine Wörter, meine Lüge, meine Liebe übersetzt.;1
Zufällig kauft er ein alter Tisch, in der findet David das Manuskript eines Romans findet;Zufällig kauft er ein einen alten Tisch in der findet David das Manuskript eines Romans findet;1
Zufällig kauft er ein einen alten Tisch in der findet David das Manuskript eines Romans.;Zufällig kauft er ein einen alten Tisch in der findet David das Manuskript eines Romans findet;1
Er druckt der Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorbenerobern;Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorbenerobern;1
Er druckt der den Text nach und gibt Marie in die Hoffe ihre ihr Herz erorbenerobern;Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorbenerobern;1
Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre Herz zu erorbenerobern;Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorbenerobern;1
Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorben.;Er druckt der den Text nach und gibt Marie in in der Hoffnung ihre ihr Herz erorbenerobern;1
Das arbeitet, aber Marie sendet der den Roman den Verlag und der Hergang wird unvorhersehbar.;Das arbeitetwirkt aber Marie sendet der den Roman den Verlag und der Hergang wird unvorhersehbar.;2
Das arbeitetwirkt aber Marie sendet der Roman in den Verlag und der Hergang wird unvorhersehbar.;Das arbeitetwirkt aber Marie sendet der den Roman den Verlag und der Hergang wird unvorhersehbar.;1
Was mir betrifft, ich mag diesen Film.;Was mir betrifft, ich mag ich diesen Film.;1
Vielleicht ist er typisch in eine Weise, aber hat doch ungewöhnlich MomentenMomente;Vielleicht ist er typisch in eine in gewisser Weise aber hat doch ungewöhnlich MomentenMomente;1
Vielleicht ist er typisch in eine in gewisser Weise aber hat doch ungewöhnlich Momenten.;Vielleicht ist er typisch in eine in gewisser Weise aber hat doch ungewöhnlich MomentenMomente;1
Ich glaube, er gefällt der Mänschen, die die deutsche Filme magen.;Ich glaube, er gefällt der Mänschen, die die deutsche Filme magenmögen;1
Um ehrlich zu sein, erinnerte mich dieser Held an Martin Eden aus dem Buch von Jack London, das gleiche geistige und mysteriöse.;Um ehrlich zu sein, erinnerte mich dieser Held an Martin Eden aus dem Buch von Jack London, der gleich geistig und mysteriös ist.;1
- Ich denke, wie Haller zu Beginn im Buch vorgestellt wird, hat der Leser eine Vorstellung von ihm.;- Ich denke, wie Haller zu Beginn im Buch vorgestellt wird, bekommt der Leser eine Vorstellung von ihm.;1
Ich denke, dass er selbst die Welt um ihn herum und die Wissenschaft studiert und kennengelernt hat.;Ich denke, dass er selbst die Welt um ihn herum und die Wissenschaft kennengelernt und studiert hat.;0
Vielleicht könnte man sie als Flirt bezeichnen, aber sie wusste sofort, was Harry brauchte.;Vielleicht könnte man ihr Verhalten als Flirt bezeichnen, aber sie wusste sofort, was Harry brauchte.;2
Für Harry war es wichtig, weil er sein ganzes Leben allein war und hier nach dem Vorfall mit dem Professor.;Für Harry war es wichtig, weil er sein ganzes Leben allein war besonders jetzt nach dem Vorfall mit dem Professor.;2
Harry hat gesagt Jedes Volk und sogar jeder einzelne Mensch müsse, statt sich mit verlogenen politischen Schuldfragen in Schlummer zu wiegen, bei sich selber nachforschen, wie weit es selbst durch Fehler, Versäumnisse und üble Gewohnheiten mit am Kriege und an allem ändern Weltelend schuldig sei, das sei der einzige Weg, um den nächsten Krieg vielleicht zu vermeiden.;Harry hat gesagt: Jedes Volk und sogar jeder einzelne Mensch müsse, statt sich mit verlogenen politischen Schuldfragen in Schlummer zu wiegen, bei sich selber nachforschen, wie weit es selbst durch Fehler, Versäumnisse und üble Gewohnheiten mit am Kriege und an allem ändern Weltelend schuldig sei, das sei der einzige Weg, um den nächsten Krieg vielleicht zu vermeiden.;0
Die Medien gelten als vierte Macht, da sie einen Menschen und sein Denken stark beeinflussen.;Die Medien gelten als vierte Macht, weil sie einen Menschen und sein Denken stark beeinflussen.;0
In Amerika zum Beispiel, können sich die Medien nach Belieben ausdrücken und sagen und schreiben, was sie wollen.;In Amerika, zum Beispiel, können sich die Medien nach Belieben ausdrücken und sagen und schreiben, was sie wollen.;0
In Amerika zum Beispiel, können sich die Medien nach Belieben ausdrücken und sagen und schreiben, was sie wollen.;In Amerika, zum Beispiel, können sich die Medien nach Belieben ausdrücken und sagen und schreiben, was sie wollen.;0
 Im Gespräch mit Harry sagt Hermina: Es ist viel flacher, Harry, wenn du für etwas Gutes und Ideales kämpfst und nun meinst, du müssest es auch erreichen.; Im Gespräch mit Harry sagt Hermine: Es ist viel flacher, Harry, wenn du für etwas Gutes und Ideales kämpfst und nun meinst, du müssest es auch erreichen.;0
Was würden Sie Hermina erwidern?;Was würden Sie Hermine erwidern?;0
Ich weiß mit Sicherheit, dass jeder seine eigenen hat.;Ich weiß mit Sicherheit, dass jeder seine eigenen Ideale hat.;1
Wenn wir ein Ziel erreichen, setzen wir außerdem ein neues, höheres und komplexeres.;Wenn wir ein Ziel erreichen, setzen wir dann ein neues, höheres und komplexeres.;1
Das ist es, was sannvoll ist, ständig nach etwas Besserem zu streben und um Ihren Platz in der Sonne zu kämpfen.;Das ist es, was sannvoll ist, ständig nach etwas Besserem zu streben und um einen Platz in der Sonne zu kämpfen.;1
Das ist es, was sinnvoll ist, ständig nach etwas Besserem zu streben und um einen Platz in der Sonne zu kämpfen.;Das ist es, was sannvoll ist, ständig nach etwas Besserem zu streben und um einen Platz in der Sonne zu kämpfen.;1
Er verstand alles, was Harry fühlte, ohne mit ihm zu sprechen, sondern nur indem er in seine Augen sah.;Pablo verstand alles, was Harry fühlte, ohne mit ihm zu sprechen, sondern nur indem er in seine Augen sah.;1
Die Meinungen und Äußerungen dieser Meinung aller müssen respektiert werden.;Die Meinungen und Äußerungen dieser Meinung aller Menschen müssen respektiert werden.;1
Seine Seele atmete wider und er spürte sich zum Ziel des Lebens näher zu kommen.;Seine Seele atmete wider und er spürte zum Ziel des Lebens näher zu kommen.;1
Zu viel Philosophie und Wasser in seinem Kopf.;Zu viel Philosophie und hole Worte in seinem Kopf.;1
Ein Mann fühlt sich nicht wie nichts.;Der Mann fühlt sich nicht wie nichts.;1
 Beschreiben Sie die letzten Sunden vor dem Ball.; Beschreiben Sie die letzten Stunden vor dem Ball.;1
In der Nacht vor dem Ball bleibt er allein mit Maria, die ihm gegeben wird.;In der Nacht vor dem Ball bleibt er allein mit Maria, die sich ihm hingibt.;2
Sie verstehen, dass das ihre letzte Nacht ist und genießen sich in vollen Zügen.;Sie verstehen, dass das ihre letzte Nacht ist und genießen einander in vollen Zügen.;1
Er fühlte sich seltsam, da es für ihn unglaublich ungewöhnlich war, alle das zu sehen, was etwas Übermenschliches betrifft, etwas Hohes und Wichtiges, das die Leute einfach in einem Film spielen können.;Er fühlte sich seltsam, da es für ihn unglaublich ungewöhnlich war, das alles zu sehen, was etwas Übermenschliches betrifft, etwas Hohes und Wichtiges, das die Leute einfach in einem Film spielen können.;1
Er fühlte sich seltsam, da es für ihn unglaublich ungewöhnlich war, das alles zu sehen, was etwas Übermenschliches betrifft, etwas Hoches und Wichtiges, das die Leute einfach in einem Film spielen können.;Er fühlte sich seltsam, da es für ihn unglaublich ungewöhnlich war, das alles zu sehen, was etwas Übermenschliches betrifft, etwas Hohes und Wichtiges, das die Leute einfach in einem Film spielen können.;0
Alle Versuche, ihn zu zeigen, sind vergebens.;Alle Versuche, sie zu entdecken, sind vergebens.;2
Philosophiere nicht und lade deinen Kopf nicht mit Gedanken und Problemen.;"""Philosophiere nicht und lade deinen Kopf nicht mit Gedanken und Problemen.""";1
Sie sagte, nachdem Harry sich in sie verliebt hatte, würde er sie töten müssen.;Sie sagte, nachdem Harry sich in sie verliebt hatte, er würde sie töten müssen.;1
Mozart bedeutete wie Goethe für Harry viel.;Mozart wie Goethe bedeutete für Harry viel.;1
Mozart wie Goethe bedeutete Harry viel.;Mozart wie Goethe bedeutete für Harry viel.;1
Nachdem Harry Hermine getötet hatte, erschien ein neuer, moderner Mozart, der Harry klar machte.;Nachdem Harry Hermine getötet hatte, erschien ein neuer, moderner Mozart, der es Harry klar machte.;1
Mozart brachte wie ein Sonnenstrahl in seinem Kopf Licht und Klarheit in das Geschehen.;Mozart brachte wie ein Sonnenstrahl in seinen Kopf Licht und Klarheit in das Geschehen.;1
Um ehrlich zu sein, habe ich diesen Roman nicht verstanden und hätte nicht mehr von Hessens Werk gelesen.;Um ehrlich zu sein, habe ich diesen Roman nicht verstanden und würde nicht mehr von Hessens Werken lesen.;2
Leider ist seine Arbeit nicht in meiner Nähe.;Leider liegt sein Werk mir nicht am Herzen.;1
Vielleicht passt er nicht zu unserem Alter oder meinem Persönlichkeitstyp.;Vielleicht passt dieser Roman nicht zu unserem Alter oder meinem Persönlichkeitstyp.;2
Aber ich bin so völlig uninteressant und gelangweilt.;Aber ich bin so völlig uninteressiert und gelangweilt.;2
Ich mag es, wenn es in dem Roman viele Handlungen, Erfahrungen, Gefühle der Charaktere gibt und keine abstrakten Gedanken und Selbstkennzeichnung.;Ich mag es, wenn es in dem Roman viele Handlungen, Erfahrungen, Gefühle der Charaktere gibt und keine abstrakten Gedanken und Selbsterkenntnis.;1
Das heißt, jedes Mal, wenn er an dieser Pflanze vorbeikommt oder nur riecht, scheint er zu meditieren.;Das heißt, jedes Mal, wenn er an dieser Pflanze vorbeikommt oder sie nur riecht, scheint er zu meditieren.;1
Stellt er sich ein normales Leben vor, in dem Menschen eine Vielzahl von Aktivitäten ausführen, die für ihn leider völlig uninteressant sind.;Er stellt sich ein normales Leben vor, in dem Menschen eine Vielzahl von Aktivitäten ausführen, die für ihn leider völlig uninteressant sind.;1
Diese Pflanze ist sowohl in der Außenwelt als auch in der Innenwelt mit Ordnung und Behaglichkeit verbunden.;Diese Pflanze ist sowohl in der Außenwelt, als auch in der Innenwelt mit Ordnung und Behaglichkeit verbunden.;0
Dieser Behaglichkeit fehlt bei Harry, deshalb ist er so freundlich zu dieser Pflanze.;Diese Behaglichkeit fehlt bei Harry, deshalb ist er so freundlich zu dieser Pflanze.;1
Diese Behaglichkeit fehlt bei Harry, deshalb er so freundlich zu dieser Pflanze ist.;Diese Behaglichkeit fehlt bei Harry, deshalb ist er so freundlich zu dieser Pflanze.;1
Er lebt sehr ruhig und zurückgezogen sieht aus, wie ein Fremder unter Menschen, wild und gleichzeitig schüchtern.;Er lebt sehr ruhig und zurückgezogen, sieht aus, wie ein Fremder unter Menschen, wild und gleichzeitig schüchtern.;0
Er lebte immer in seiner eigenen Welt und möchte nichts mit dem umgebenden Philistertum zu tun haben.;Er lebt immer in seiner eigenen Welt und möchte nichts mit dem umgebenden Philistertum zu tun haben.;1
Haller erlebt schreckliche Leere das Leben hat für ihn seinen Sinn verloren, er fühlt sich, wie ein einsamer Steppenwolf.;Haller erlebt schreckliche Leere, das Leben hat für ihn seinen Sinn verloren, er fühlt sich, wie ein einsamer Steppenwolf.;0
Er hat die Abende satt, wenn man einfach nur sitzen und glücklich sein kann, ist es besser, schlechte Dinge passieren zu lassen, und er wird leiden.;Er hat die Abende satt, wenn man einfach nur sitzen und glücklich sein kann, es ist besser, schlechte Dinge passieren zu lassen, und er wird leiden.;1
Was die russischen Qualitäten in mir angeht, so mag ich als Russin große Feiertage, ich mag Freunde zu Hause oder in einem Café sammeln, Neuigkeiten diskutieren, tanzen und Spaß haben.;Was die russischen Eigenschaften in mir angeht, so mag ich als Russin große Feiertage, ich mag Freunde zu Hause oder in einem Café sammeln, Neuigkeiten diskutieren, tanzen und Spaß haben.;2
Aber wir haben eine solche Qualität - wir sind schwerfällig, das heißt, um etwas zu tun, brauchen wir einen Tritt.;Aber wir haben eine solche Eigenschaft - wir sind schwerfällig, das heißt, um etwas zu tun, brauchen wir einen Tritt.;2
Aber wir haben eine solche Eigenschaft - wir sind schwer zu klettern, das heißt, um etwas zu tun, brauchen wir einen Tritt.;Aber wir haben eine solche Eigenschaft - wir sind schwerfällig, das heißt, um etwas zu tun, brauchen wir einen Tritt.;1
Vielleicht kann man diese Qualität als Faulheit bezeichnen, aber wenn ich zur Sache komme, habe ich Interesse und Begeisterung, deshalb bringe ich immer alles zu Ende.;Vielleicht kann man dieses Merkmal als Faulheit bezeichnen, aber wenn ich zur Sache komme, habe ich Interesse und Begeisterung, deshalb bringe ich immer alles zu Ende.;2
Vielleicht kann man dieses Merkmal als Faulheit bezeichnen, aber wenn ich zur Sache komme, habe ich Interesse und Begeisterung, deshalb bringe ich immer alles zum Ende.;Vielleicht kann man dieses Merkmal als Faulheit bezeichnen, aber wenn ich zur Sache komme, habe ich Interesse und Begeisterung, deshalb bringe ich immer alles zu Ende.;1
Einige meiner Qualitäten sind denen Russen entgegengesetzt.;Einige meiner Eigenschaften sind denen Russen entgegengesetzt.;2
Ich versuche viel in meinem Leben zu lächeln und nach guten Dingen für alle zu suchen oder Erfahrungen zu sammeln.;Ich versuche viel in meinem Leben zu lächeln und nach guten Dingen in allen Angelegenheiten zu suchen oder Erfahrungen zu sammeln.;2
Armenier haben eine solche Qualität, zu ihrem Vorteil zu betrügen.;Armenier haben eine solche Besonderheit, zu ihrem Vorteil zu betrügen.;2
Armenier haben eine solche Besonderheit, um zu ihrem Vorteil zu betrügen.;Armenier haben eine solche Besonderheit, zu ihrem Vorteil zu betrügen.;1
Ich interessiere mich nicht für religiöse Feiertage und gehe in die Kirche.;Ich interessiere mich für religiöse Feiertage und gehe in die Kirche nicht.;1
Jeder Mensch hat eine große Bandbreite seiner persönlichen Qualitäten, genauso wie ich.;Jeder Mensch hat eine große Bandbreite seiner persönlichen Eigenschaften, genauso wie ich.;2
Sie können Beweise aus dem Text bringen: Es mögen sich kluge Menschen darüber streiten, ob er nun wirklich ein Wolf war, ob er einmal, vielleicht schon vor seiner Geburt, aus einem Wolf in einen Menschen verzaubert worden war oder ob er als Mensch geboren, aber mit der Seele eines Steppenwolfes begabt und von ihr besessen war oder aber ob dieser Glaube, daß er eigentlich ein Wolf sei, bloß eine Einbildung oder Krankheit von ihm war”.;Ich kann Beweise aus dem Text bringen: Es mögen sich kluge Menschen darüber streiten, ob er nun wirklich ein Wolf war, ob er einmal, vielleicht schon vor seiner Geburt, aus einem Wolf in einen Menschen verzaubert worden war oder ob er als Mensch geboren, aber mit der Seele eines Steppenwolfes begabt und von ihr besessen war oder aber ob dieser Glaube, daß er eigentlich ein Wolf sei, bloß eine Einbildung oder Krankheit von ihm war”.;0
Ich kann Beweise aus dem Text bringen Es mögen sich kluge Menschen darüber streiten, ob er nun wirklich ein Wolf war, ob er einmal, vielleicht schon vor seiner Geburt, aus einem Wolf in einen Menschen verzaubert worden war oder ob er als Mensch geboren, aber mit der Seele eines Steppenwolfes begabt und von ihr besessen war oder aber ob dieser Glaube, daß er eigentlich ein Wolf sei, bloß eine Einbildung oder Krankheit von ihm war”.;Ich kann Beweise aus dem Text bringen: Es mögen sich kluge Menschen darüber streiten, ob er nun wirklich ein Wolf war, ob er einmal, vielleicht schon vor seiner Geburt, aus einem Wolf in einen Menschen verzaubert worden war oder ob er als Mensch geboren, aber mit der Seele eines Steppenwolfes begabt und von ihr besessen war oder aber ob dieser Glaube, daß er eigentlich ein Wolf sei, bloß eine Einbildung oder Krankheit von ihm war”.;0
Die Zugehörigkeit oder Nichtzugehörigkeit zur Art des Selbstmordes bestimmt jedoch nicht das Schicksal einer Person.;Die Zugehörigkeit oder Nichtzugehörigkeit zur Art des Selbstmörders bestimmt jedoch nicht das Schicksal einer Person.;2
Selbstmorde neigen nicht zum Selbstmord, weil sie apathisch sind.;Selbstmörder neigen nicht zum Selbstmord, weil sie apathisch sind.;2
Der ständige Kampf gegen die Versuchung, das Leben zu beenden, das durch die kleinsten Probleme im Leben verursacht wird, stärkt ihren Geist.;Der ständige Kampf gegen die Versuchung, der Leben zu beenden, das durch die kleinsten Probleme im Leben verursacht wird, stärkt ihren Geist.;1
die Einteilung der Seele von Harry in Wolf und einen Menschen als naiv bezeichnet wird Wie oben erwähnt, ist die Aufteilung der Seele in einen Wolf und eine Person naiv, weil eine Person aus großen Naturen besteht.;die Einteilung der Seele von Harry in einen Wolf und einen Menschen als naiv bezeichnet wird Wie oben erwähnt, ist die Aufteilung der Seele in einen Wolf und eine Person naiv, weil eine Person aus großen Naturen besteht.;0
die Einteilung der Seele von Harry in Wolf und einen Menschen als naiv bezeichnet wird Wie oben erwähnt, ist die Aufteilung der Seele in einen Wolf und eine Person naiv, weil eine Person aus großen Naturen besteht.;die Einteilung der Seele von Harry in einen Wolf und einen Menschen als naiv bezeichnet wird Wie oben erwähnt, ist die Aufteilung der Seele in einen Wolf und eine Person naiv, weil eine Person aus großen Naturen besteht.;0
Sie können Beweise aus dem Text nennen: Harry ist gar kein Wolfsmensch, und wir seine, von ihm selbst wissene und geglaubte Lüge sicher mit übernahmen und ihm als Doppelwesen, als Steppenwolf zu gehören und so gehört solche bringen Verstanden werden eine Täuschung zunutze, ihre Richtigstellung jetzt wird werden soll.;Ich kann Beweise aus dem Text nennen: Harry ist gar kein Wolfsmensch, und wir seine, von ihm selbst wissene und geglaubte Lüge sicher mit übernahmen und ihm als Doppelwesen, als Steppenwolf zu gehören und so gehört solche bringen Verstanden werden eine Täuschung zunutze, ihre Richtigstellung jetzt wird werden soll.;0
Ich kann Beweise aus dem Text Harry ist gar kein Wolfsmensch, und wir seine, von ihm selbst wissene und geglaubte Lüge sicher mit übernahmen und ihm als Doppelwesen, als Steppenwolf zu gehören und so gehört solche bringen Verstanden werden eine Täuschung zunutze, ihre Richtigstellung jetzt wird werden soll.;Ich kann Beweise aus dem Text nennen: Harry ist gar kein Wolfsmensch, und wir seine, von ihm selbst wissene und geglaubte Lüge sicher mit übernahmen und ihm als Doppelwesen, als Steppenwolf zu gehören und so gehört solche bringen Verstanden werden eine Täuschung zunutze, ihre Richtigstellung jetzt wird werden soll.;1
Er musste nach einem neuen Leben suchen und sie fand es in Spiritualität und Philosophie.;Er musste nach einem neuen Leben suchen und er fand es in Spiritualität und Philosophie.;1
Der Text erwähnt auch seine Geliebte, die zum ersten Mal im Text gefunden wird.;Der Text erwähnt auch seine Geliebte, die nur ein Mal im Text gefunden wird.;2
Harry traf einen alten Professor einen Freund, der wirklich froh war, ihn zu sehen.;Harry traf einen alten Professor, einen Freund, der wirklich froh war, ihn zu sehen.;1
Harry traf alten Professor, einen Freund, der wirklich froh war, ihn zu sehen.;Harry traf einen alten Professor, einen Freund, der wirklich froh war, ihn zu sehen.;0
Harry traf einen alten Professor einen Freund, der wirklich froh war, ihn zu sehen.;Harry traf einen alten Professor, einen Freund, der wirklich froh war, ihn zu sehen.;0
Sie sprach süß mit Harry und lud ihn zum Abendessen mit seiner Familie ein.;Er sprach süß mit Harry und lud ihn zum Abendessen mit seiner Familie ein.;1
Er sprach süß mit Harry und lud ihn zum Abendessen mit ihrer Familie ein.;Er sprach süß mit Harry und lud ihn zum Abendessen mit seiner Familie ein.;1
So standen die beiden Harrys, beides außerordentlich unsympathische Figuren, dem artigen Professor gegenüber, verhöhnten einander, beobachteten einander, spuckten voreinander aus und stellten sich, wie immer in solchen Lagen, wieder einmal die Frage: ob das nun einfach menschliche Dummheit und Schwäche sei, allgemeines Menschenlos, oder ob dieser sentimentale Egoismus, diese Charakterlosigkeit, diese Unsauberkeit und Zwiespältigkeit der Gefühle bloß eine persönliche, steppenwölfische Spezialität sei.;"So standen die beiden Harrys, beides außerordentlich unsympathische Figuren, dem artigen Professor gegenüber, verhöhnten einander, beobachteten einander, spuckten voreinander aus und stellten sich, wie immer in solchen Lagen, wieder einmal die Frage: ob das nun einfach menschliche Dummheit und Schwäche sei, allgemeines Menschenlos, oder ob dieser sentimentale Egoismus, diese Charakterlosigkeit, diese Unsauberkeit und Zwiespältigkeit der Gefühle bloß eine persönliche, steppenwölfische Spezialität sei "".";0
Seine gute Natur und Offenheit, es gibt ein einfaches und gewöhnliches Leben und eine Familie.;Seine gute Natur und Offenheit, er hat ein einfaches und gewöhnliches Leben und eine Familie.;1
S gute Natur und Offenheit, er hat ein einfaches und gewöhnliches Leben und eine Familie.;Seine gute Natur und Offenheit, er hat ein einfaches und gewöhnliches Leben und eine Familie.;0
All dies normal beschreibt das Leben eines gewöhnlichen Menschen.;All das Normale beschreibt das Leben eines gewöhnlichen Menschen.;1
Er wollte im Alter von 50 Jahren Selbstmord begehen und traf dann die Entscheidung, nicht zwei Jahre zu warten, sondern sich vom Tod überholen zu lassen, wenn es ihr gefällt.;Er wollte im Alter von 50 Jahren Selbstmord begehen und traf dann die Entscheidung, nicht zwei Jahre zu warten, sondern sich vom Tod überholen zu lassen, wenn es ihm gefällt.;1
Ich verstehe nicht warum und für wen er lebt.;Ich verstehe nicht, warum und für wen er lebt.;0
Und ich stimme diesen Eigenschaften definitiv zu, denn über mich selbst kann ich sagen, dass es unwahrscheinlich ist, dass ich Fremde auf der Straße lächle und grüße, so wie ich die meiste Zeit eher wenig Emotionen habe.;Und ich stimme diesen Eigenschaften definitiv zu, denn über mich selbst kann ich sagen, dass es unwahrscheinlich ist, dass ich Fremde auf der Straße anlächle und grüße, so wie ich die meiste Zeit eher wenig Emotionen habe.;0
Auch Russen haben eine Eigenschaft wie Kompromisslosigkeit.;Russen haben auch eine Eigenschaft wie Kompromisslosigkeit.;1
Russen haben auch eine Qualität wie Kompromisslosigkeit.;Russen haben auch eine Eigenschaft wie Kompromisslosigkeit.;2
Russen haben auch eine Eigenschaft wie kompromisslos.;Russen haben auch eine Eigenschaft wie Kompromisslosigkeit.;0
Diese Qualität kennzeichnet mich nicht.;Diese Eigenschaft kennzeichnet mich nicht.;2
